StartNumber,SecondAoA,SecondGapSize,SecondGapAngle,ThirdAoA,ThirdGapSize,ThirdGapAngle
1,1.0954246651486,23.1224120735899,103.184119602153,54.813116039327,132.666201794349,131.600986884723
2,2.930826627001,39.5245702116875,125.465890276861,53.9147647471999,81.7758209849153,142.516808790163
3,1.32561361103213,24.3434064585797,73.5203371900957,33.1937828910482,155.085595038359,123.76976520204
4,18.3852281970964,61.3009637416007,129.252440123906,30.7770467273941,40.0606461680459,143.977374472085
5,1.23011892870108,57.8341371828655,145.545759428498,31.5059366324903,99.5847339666641,128.403813528855
6,1.68193254289131,41.2994034710197,102.315895629253,34.5545074883554,152.066256588827,149.426549021192
7,15.0914371135346,88.9793357169033,142.10573131516,21.2983757931174,80.2186964698115,108.591685920916
8,9.78940656632631,70.4773059197262,129.881995449107,19.7718644104926,94.3059861694313,148.387395855009
9,24.1405500043933,12.8168152754677,148.714679788792,41.7777543226236,57.2402940609545,130.578062335367
10,2.50724934678977,69.5100312010455,147.322233380224,13.9007786608553,52.1593114844632,144.338530900125
11,19.0442087005521,35.182619098137,142.140554745113,32.470162202048,84.8111886681041,118.169421236097
12,10.6319506428386,9.63494282109345,84.8403983735651,15.2891125174656,136.502368141152,137.681248300816
13,4.99285149982237,103.235519635661,148.722013551981,8.19535536442952,147.685569510896,99.3412402231925
14,4.73211815188634,106.608216909857,132.090533073237,40.9171857699041,7.40182330998866,121.889947099044
15,11.2693159515357,101.766489730158,132.286053624949,52.4232817076544,15.9984371993668,138.229348538636
16,24.0140475031844,51.7529869076863,149.707373706711,35.5265993133001,28.6321867302126,141.607078333556
17,16.1797919029035,45.8445269572144,107.712176329959,26.9537109913211,104.273096622926,131.504324851955
18,15.4240341010985,22.4309229333715,73.8978572352142,56.6338911552431,57.0369971836814,143.2318826777
19,11.3673147166971,36.1489374132083,148.141937258743,52.6200932928393,51.1362916740406,100.322734394821
20,19.9659127591155,23.197584219217,110.484031716495,32.8523582994939,98.499518486023,138.814731676884
21,12.1279198909424,87.043452544221,127.848709840583,54.0520856533199,17.8981904362735,109.787778174062
22,15.4760369035712,86.5734967353595,131.390962185322,27.2782269046226,53.0331445380437,149.259101960327
23,6.83800943291149,132.475976472609,138.469554393606,16.0310727309572,120.11185807488,124.578382304275
24,3.61259769584321,103.522997435577,147.040494533677,34.1303712677799,64.2567753097209,139.250568292728
25,8.60267953787451,112.39907396417,127.084268470699,18.4290304155888,150.596416674227,149.788117989612
26,3.69991576864018,49.0266845708179,116.49599264641,45.8858972015502,93.64642092965,116.477878276158
27,0.449017340989483,15.258643422872,101.847330151515,42.1662592911763,127.981761589108,124.724514440682
28,12.5770780482266,41.9522103670233,128.964647923998,38.0630157742865,75.8409063415091,131.069282733879
29,6.44429188325277,30.7303698075221,132.570833924601,19.3358026532458,130.533220696765,142.845610483496
30,14.1892385267247,116.772096674694,141.335399576144,33.1019373901093,31.9369760377855,126.781014925305
31,10.4522129410322,109.574697953487,136.432216956913,39.1430312586263,11.6432408579389,93.149838139339
32,9.99578745682996,31.3833323545528,145.705694425755,36.6974518895128,83.6945936737645,119.065917774911
33,16.7000410904969,77.2875554268082,142.997550807695,28.1560983895723,36.6711525070554,111.421072920367
34,8.02384056498521,106.223388120542,124.921671572847,51.343379760831,15.356790386045,87.1118589863856
35,11.5615544386024,44.8065990476611,111.340260941914,41.0275895857037,105.385452923412,148.567837449861
36,13.1977005610021,142.30691047225,144.8627906732,35.9909684790787,32.1011424614921,101.703765037306
37,5.18889741146465,146.924478833719,138.488550986747,14.1626982566783,112.647546850967,129.133065594025
38,11.3259524276047,65.1162177158081,120.845063339327,43.9298433800464,54.1446788407923,116.16700937977
39,2.76190264879115,123.178426207839,146.200628618566,53.7520163335556,36.8713741341537,94.8539397083957
40,3.32910536590024,15.9290855217831,140.462271991142,30.7008448036366,98.8677050021005,147.40739607465
41,12.1540904667704,27.8560806555399,127.719034158345,34.0665310611784,106.690593971203,143.643210190921
42,2.70345654732552,16.9359705653435,108.405598225352,37.4257632148908,143.163750292122,148.97486519073
43,13.0529468772847,74.0077290197252,141.061587038239,59.0676752579262,13.9147285408614,124.093821217741
44,2.42430100022776,53.3755631947221,148.435342963399,49.4451426616366,29.3397366175395,103.562097513278
45,1.41184978380707,36.4814352986008,113.236532343432,55.1921492677659,44.2416284659304,137.446352934094
46,15.1886097410233,97.1868594673684,149.103328145338,24.0282410894885,148.602974562485,149.590270871946
47,18.7049710106394,60.0090147360786,135.370763305895,39.2891769067877,50.9460156496155,143.574678215462
48,2.20061963210034,108.160111825826,147.401168511545,40.4608956035829,101.865895430445,145.624482106115
49,10.6870403185416,37.3869582814081,96.74835366666,44.858855059041,93.4273086221506,147.498197530067
