Run #,Runner,Status,Remoted Computer,RW AoA 1st (deg),RW AoA 2nd (deg),RW AoA 3rd (deg),RW Move X 1st (mm),RW Move x 2nd (mm),RW Move Z 1st (mm),RW Move Z 2nd (mm),Iterations,Car Lift,Car Drag,Rw Lift ,Rw Drag,RW L/D ,Time/Iter,Total TIme
33,Viktor,Complete,,9.87,28.62,56.33,3.13,5.78,15.54,13.27,1723,297.0465,146.2193,139.2785,62.33307,2.234423878,171.244,34.39150333
34,Pran,Complete,,9.34,26.23,56.22,-2.47,8.71,16.54,9.45,2000,298.707,144.8213,140.7606,61.53934,2.287327098,192.32,53.42222222
35,Viktor,Complete,,10.98,25.89,58.95,2.55,5.26,21.83,13.47,1948,244.2779,110.513,99.85004,35.78459,2.790308342,171.244,45.09425333
36,Viktor,Complete,,6.22,24.1,54.28,3.85,6.76,14.71,12.96,1940,292.6078,138.2417,134.4504,56.30318,2.387971692,171.244,44.71371111
37,Pran,Complete,,9.46,25.47,57.66,-3.13,5.55,20.99,11.67,1993,297.9356,144.3764,138.5203,61.4649,2.25364883,192.32,53.04826667
38,Pran,Complete,,10.13,26.9,58.07,2.81,7.44,17.04,14.3,1969,297.4035,145.1039,140.2187,62.24693,2.25262033,171.244,46.09317667
39,Pran,Complete,,9.54,25.65,59.82,3.22,7.78,18.53,10.32,2000,299.3625,147.2125,142.8455,63.40643,2.252855113,192.32,53.42222222
40,Viktor,Complete,,10.29,27.11,59.2,-2.68,4.73,20.83,7.15,1982,242.5714,110.0337,99.48289,35.2899,2.819018756,171.244,46.71155778
41,Pran,Complete,,8.37,30.58,60.66,-0.1,2.14,20.33,13.1,1965,307.3805,151.9619,148.4421,67.39818,2.202464518,53.135,14.24313194
42,Viktor,Complete,,10.39,28.91,53.53,-1.8,3.46,16.82,6.8,1697,297.2027,144.8847,137.3983,60.87802,2.256944296,171.244,33.15474111
43,Viktor,Complete,,5.72,23.23,57.81,0,1.14,19.01,13.68,1924,293.102,139.8235,135.8927,57.56176,2.360815583,171.244,43.95262667
45,Viktor,Complete,,7.04,24.64,59.36,1.51,5.98,21.26,11.34,1935,298.3455,144.8197,140.6392,61.37934,2.291311702,171.244,44.47587222
46,Viktor,Complete,,8.03,26.13,55.35,-2.76,4.43,18.76,10.71,1934,297.5519,142.8322,140.1434,60.3574,2.321892593,171.244,44.42830444
47,Viktor,Complete,,5.46,26.64,58.38,0.81,7.02,19.63,12.32,2000,299.937,145.2801,144.0663,62.07791,2.320733736,53.135,14.75972222
48,Viktor,Complete,,7.18,26.42,56.52,-3.27,1.9,22.11,9.17,1956,296.0889,143.6314,138.7832,60.73401,2.28509858,171.244,45.47479556
49,Viktor,Complete,,6.58,27.68,55.59,-1.29,7.18,17.12,7.5,1966,302.4586,145.9273,142.9904,61.77829,2.314573615,171.244,45.95047333
50,Viktor,Complete,,10.12,25.79,60.22,-0.83,3.31,15.81,7.98,1946,303.2906,147.3111,142.8299,63.68378,2.242798716,171.244,44.99911778
51,Viktor,Complete,,7.7,29.64,58.61,0.52,3.59,17.77,9.83,1956,305.1996,149.7949,145.4555,65.3561,2.225584146,171.244,45.47479556
