1.000000 0.000000
0.999315 -0.000097
0.997261 -0.000390
0.993844 -0.000890
0.989074 -0.001612
0.982963 -0.002576
0.975528 -0.003801
0.966790 -0.005307
0.956773 -0.007109
0.945503 -0.009215
0.933013 -0.011626
0.919335 -0.014332
0.904508 -0.017314
0.888573 -0.020542
0.871572 -0.023977
0.853553 -0.027571
0.834565 -0.031272
0.814660 -0.035023
0.793893 -0.038770
0.772320 -0.042456
0.750000 -0.046031
0.726995 -0.049450
0.703368 -0.052671
0.679184 -0.055661
0.654508 -0.058392
0.629410 -0.060836
0.603956 -0.062970
0.578217 -0.064768
0.552264 -0.066204
0.526168 -0.067246
0.500000 -0.067854
0.473832 -0.067986
0.447736 -0.067592
0.421783 -0.066621
0.396044 -0.065020
0.370590 -0.062741
0.345492 -0.059745
0.320816 -0.056007
0.296632 -0.051521
0.273005 -0.046306
0.250000 -0.040410
0.227680 -0.033912
0.206107 -0.026924
0.185340 -0.019589
0.165435 -0.012080
0.146447 -0.004594
0.128428 0.002658
0.111427 0.009452
0.095492 0.015570
0.080665 0.020806
0.066987 0.024975
0.054497 0.027930
0.043227 0.029563
0.033210 0.029820
0.024472 0.028700
0.017037 0.026261
0.010926 0.022617
0.006156 0.017938
0.002739 0.012436
0.000685 0.006364
0.000000 -0.000000
0.000685 -0.006436
0.002739 -0.013008
0.006156 -0.019845
0.010926 -0.027054
0.017037 -0.034721
0.024472 -0.042897
0.033210 -0.051598
0.043227 -0.060805
0.054497 -0.070458
0.066987 -0.080467
0.080665 -0.090708
0.095492 -0.101038
0.111427 -0.111294
0.128428 -0.121308
0.146447 -0.130911
0.165435 -0.139944
0.185340 -0.148262
0.206107 -0.155742
0.227680 -0.162287
0.250000 -0.167829
0.273005 -0.172328
0.296632 -0.175770
0.320816 -0.178170
0.345492 -0.179563
0.370590 -0.180000
0.396044 -0.179544
0.421783 -0.178265
0.447736 -0.176235
0.473832 -0.173523
0.500000 -0.170191
0.526168 -0.166295
0.552264 -0.161879
0.578217 -0.156982
0.603956 -0.151633
0.629410 -0.145856
0.654508 -0.139673
0.679184 -0.133104
0.703368 -0.126175
0.726995 -0.118915
0.750000 -0.111363
0.772320 -0.103565
0.793893 -0.095579
0.814660 -0.087470
0.834565 -0.079312
0.853553 -0.071186
0.871572 -0.063175
0.888573 -0.055364
0.904508 -0.047837
0.919335 -0.040672
0.933013 -0.033941
0.945503 -0.027709
0.956773 -0.022029
0.966790 -0.016945
0.975528 -0.012493
0.982963 -0.008697
0.989074 -0.005575
0.993844 -0.003140
0.997261 -0.001396
0.999315 -0.000349
1.000000 0.000000
