Name (Please put name if doing premade run,Personal #,PACE Computer # (if in pace),Second AoA,Second Gap Size,Second Gap Angle,Third AoA,Third Gap Size,Third Gap Angle,Downforce,Drag Force,L/D,Rel Diff %,,
Matt,,,20.42109762,22.92509413,120.8716542,31.43545924,10.06705583,67.0962338,84.657895,11.658448,7.26150642,2.646542769,7.263607783,-0.2101362988
Viktor,,,14.55716684,20.15169026,124.0571909,38.31678641,8.877697295,57.99207259,83.41868,12.106911,6.890170416,-2.602554984,6.902303055,-1.213263903
Viktor,,,15.79922817,18.43549348,133.0399786,39.22080981,7.616556264,68.95049592,84.132267,12.15767,6.92009793,-2.17950835,6.931743535,-1.164560513
Viktor,,,19.82388371,26.52702686,126.8499683,30.06348961,10.36964391,71.56568264,83.680367,11.295777,7.408110748,4.718898909,7.413716941,-0.5606193469
Viktor,,,15.55297567,21.05679408,125.9633045,35.54755272,11.3379016,58.47669486,83.146051,11.760339,7.070038627,-0.05999026174,7.059379688,1.065893924
Viktor,,,14.15102708,33.74249769,122.1163006,36.06369158,6.75482999,68.3618087,83.772921,11.626239,7.205504807,1.854920253,7.230113654,-2.460884715
Viktor,,,18,23.73,132.6,36,8.95,65.61,85.165544,11.995757,7.099638981,7.1131,-0.1896014622,
Viktor,,,14.26993095,26.05815564,127.1238785,34.33718783,5.334728619,65.75587995,85.149389,11.298924,7.536061752,7.5112,0.3299037779,
Viktor,,,21.31122693,16.42381682,131.5504591,37.36130942,5.09401317,62.06608761,86.048178,12.430927,6.922104683,6.9179,0.06074283955,
Viktor,,,18.88648054,17.16146897,130.5412881,33.87610638,5.831813689,64.94492069,82.630876,11.467803,7.205466993,7.2356,-0.4181964461,
Viktor,,,17.07181659,24.66029563,123.4575239,32.16571417,9.097368786,70.09256936,83.334047,11.374233,7.326564086,7.2915,0.478588398,
