Time,Ax,Ay,Beta,Pitch,Roll,Vx,Zcg_SM,,,,,
0.052,-0.003954968,0.010321927,0.508863578,-0.003142082,0.017577352,0.993620581,0.251049381,,,,,
0.053,-0.003961887,0.010608783,0.52954792,-0.003063443,0.017151959,0.993481037,0.251039014,,,,,
0.054,-0.003981315,0.010882541,0.550812723,-0.002987523,0.016705167,0.99334125,0.251028639,,,,,
0.055,-0.00400861,0.01114159,0.57263194,-0.002914405,0.016242526,0.99320078,0.25101826,,,,,
0.056,-0.004038759,0.011384473,0.59497619,-0.00284415,0.015769643,0.993059349,0.251007885,,,,,
0.057,-0.004066815,0.011609889,0.617813038,-0.002776793,0.015292069,0.992916856,0.250997521,,,,,
0.058,-0.004088292,0.011816696,0.641107296,-0.00271235,0.014815188,0.992773375,0.250987175,,,,,
0.059,-0.004099499,0.012003895,0.664821325,-0.002650821,0.014344122,0.992629139,0.250976854,,,,,
0.06,-0.004097793,0.012170636,0.688915336,-0.002592192,0.013883656,0.99248451,0.250966567,,,,,
0.061,-0.004081738,0.012316201,0.713347689,-0.002536442,0.013438177,0.992339944,0.250956323,,,,,
0.062,-0.004051169,0.012439994,0.738075178,-0.002483547,0.013011647,0.992195949,0.250946129,,,,,
0.063,-0.004007161,0.012541531,0.763053311,-0.002433482,0.012607576,0.992053037,0.250935993,,,,,
0.064,-0.003951906,0.012620436,0.788236566,-0.002386226,0.012229028,0.991911682,0.250925925,,,,,
0.065,-0.003888522,0.012676424,0.813578641,-0.002341763,0.011878632,0.991772282,0.250915933,,,,,
0.066,-0.003820805,0.012709306,0.83903269,-0.002300084,0.011558599,0.991635124,0.250906023,,,,,
0.067,-0.003752935,0.012718987,0.864551543,-0.002261189,0.011270752,0.99150036,0.250896204,,,,,
0.068,-0.003689184,0.012705462,0.89008793,-0.002225084,0.01101655,0.991367998,0.250886482,,,,,
0.069,-0.003633611,0.012668825,0.915594695,-0.002191782,0.01079712,0.99123789,0.250876866,,,,,
0.07,-0.003589793,0.012609275,0.941025009,-0.002161301,0.010613279,0.99110975,0.250867361,,,,,
0.071,-0.003560592,0.012527117,0.966332585,-0.002133663,0.010465557,0.990983161,0.250857973,,,,,
0.072,-0.003547975,0.012422771,0.991471891,-0.002108892,0.010354219,0.990857608,0.250848708,,,,,
0.073,-0.003552901,0.012296776,1.016398366,-0.002087014,0.010279274,0.990732506,0.250839572,,,,,
0.074,-0.003575272,0.01214979,1.041068631,-0.002068051,0.010240497,0.990607235,0.25083057,,,,,
0.075,-0.003613951,0.011982589,1.065440697,-0.002052025,0.010237428,0.990481178,0.250821706,,,,,
0.076,-0.003666843,0.011796068,1.089474165,-0.002038954,0.010269389,0.990353762,0.250812986,,,,,
0.077,-0.003731034,0.01159123,1.113130424,-0.002028851,0.010335486,0.990224483,0.250804412,,,,,
0.078,-0.003802977,0.011369183,1.136372825,-0.002021724,0.010434616,0.990092942,0.250795989,,,,,
0.079,-0.003878702,0.011131123,1.159166857,-0.002017577,0.010565474,0.989958867,0.250787721,,,,,
