Name,Workbench,Computer,Second AoA,Second Gap Size (mm),Second Gap Angle,Third Aoa,Third Gap size (mm),Third Gap Angle ,Lift (N),Drag (N),L/D,Notes,Ran Or no?
Set four,,,0.449017341,15.25864342,101.8473302,42.16625929,127.9817616,124.7245144,42.7211,15.122,2.825095887,,1
DIVERGED,,,12.57707805,41.95221037,128.9646479,38.06301577,75.84090634,131.0692827,,,0,,0
Set four,,,6.444291883,30.73036981,132.5708339,19.33580265,130.5332207,142.8456105,55.1341,13.2388,4.164584403,,1
DIVERGED,,,14.18923853,116.7720967,141.3353996,33.10193739,31.93697604,126.7810149,,,0,,0
Set four,,,10.45221294,109.574698,136.432217,39.14303126,11.64324086,93.14983814,81.3215,21.9612,3.702962497,,1
DIVERGED,,,9.995787457,31.38333235,145.7056944,36.69745189,83.69459367,119.0659178,,,0,,0
Set four,,,16.70004109,77.28755543,142.9975508,28.15609839,36.67115251,111.4210729,82.2921,21.9406,3.750676827,,1
Set four,,,8.023840565,106.2233881,124.9216716,51.34337976,15.35679039,87.11185899,90.2099,26.9419,3.34831248,,1
Set four,,,11.56155444,44.80659905,111.3402609,41.02758959,105.3854529,148.5678374,74.3907,21.2046,3.508234062,,1
Set four,,,13.19770056,142.3069105,144.8627907,35.99096848,32.10114246,101.703765,90.2766,25.4264,3.55050656,,1
Set four,,,5.188897411,146.9244788,138.488551,14.16269826,112.6475469,129.1330656,60.4944,13.9027,4.351269897,,1
Set four,,,11.32595243,65.11621772,120.8450633,43.92984338,54.14467884,116.1670094,82.3519,23.7247,3.471146105,,1
Set four,,,2.761902649,123.1784262,146.2006286,53.75201633,36.87137413,94.85393971,69.1435,21.1243,3.273173549,,1
DIVERGED,,,3.329105366,15.92908552,140.462272,30.7008448,98.867705,147.4073961,,,0,,0
DIVERGED,,,12.15409047,27.85608066,127.7190342,34.06653106,106.690594,143.6432102,,,0,,0
Set four,,,2.703456547,16.93597057,108.4055982,37.42576321,143.1637503,148.9748652,52.1616,15.3692,3.393904693,,1
Set four,,,13.05294688,74.00772902,141.061587,59.06767526,13.91472854,124.0938212,103.8722,34.2858,3.029598259,,1
DIVERGED,,,2.424301,53.37556319,148.435343,49.44514266,29.33973662,103.5620975,,,0,,0
Set four,,,1.411849784,36.4814353,113.2365323,55.19214927,44.24162847,137.4463529,75.2101,22.696,3.313804195,,1
Set four,,,15.18860974,97.18685947,149.1033281,24.02824109,148.6029746,149.5902709,75.7843,19.2918,3.928316694,,1
Set four,,,18.70497101,60.00901474,135.3707633,39.28917691,50.94601565,143.5746782,97.6258,29.6954,3.287573159,,1
Set four,,,2.200619632,108.1601118,147.4011685,40.4608956,101.8658954,145.6244821,68.4632,21.62,3.1666605,,1
Set four,,,10.68704032,37.38695828,96.74835367,44.85885506,93.42730862,147.4981975,74.8551,22.0261,3.398472721,,1
DIVERGED,,,12.93588694,48.42124818,118.2536655,26.24886745,83.10492599,121.4785132,,,0,,0
Set five,,,14.04890965,30.86122417,112.193046,0,120.6717603,116.1724232,,,0,,0
Set five,,,17.34501642,52.65659237,121.8002888,19.24504933,126.3952047,124.9320876,71.205026,17.479823,4.073555321,,1
Set five,,,17.65745567,41.96734787,117.9478424,4.30577773,145.1800354,121.5325499,58.015628,13.66506,4.245545062,,1
Set five,,,18.93251146,48.14990528,120.8278197,8.788785981,150.599534,124.173766,59.63,13.94,4.277618364,,1
Set five,,,19.20848658,42.05797676,118.6754521,0,162.4091176,122.2817004,61.241487,15.098094,4.056239615,,1
Set five,,,19.21864971,67.38341067,128.1344915,33.25590502,126.3065096,130.6865535,,,0,,0
Set five,,,20.54550202,48.14135433,121.5359667,4.184228369,168.647592,124.9137713,64.143798,15.759779,4.070095018,,1
Set five,,,20.758769,57.79977106,125.2407943,16.26942406,157.2499357,128.2221831,,,0,,0
Set five,,,21.55885966,66.79116559,128.9581082,25.8129411,153.3310904,131.5785083,,,0,,0
Set Seven,,,5.155242799,45.16132876,149.7073737,37.38543438,82.20616929,124.4696505,,,0,,0
Set Seven,,,3.804494769,40.46982411,148.2971768,34.89763553,75.91814571,122.4873379,,,0,,0
Set Seven,WB 3,MAE 228,8.953020188,55.69841604,147.3392837,41.90508989,91.60028053,128.0288906,64.6492,17.479823,3.69850427,,1
Set Seven,,,5.599351273,46.12341014,148.7821856,37.66095255,82.45598597,124.6800657,,,0,,0
Set Seven,,,3.019049101,38.67411327,149.7062475,34.32258512,75.1776755,122.0447905,,,0,,0
Set Seven,,,7.126985802,51.12243322,149.6520173,40.19064177,88.61728057,126.6910625,,,0,,0
Set Seven,,,6.412053351,48.82785735,149.3565595,39.04996872,85.88258968,125.7857632,,,0,,0
Set Eight,WB 1 ,MAE 163,12.84247486,63.62180436,149.6714025,36.43157451,67.84420493,134.0518116,58.698665,26.087552,2.25006413,,1
Set Eight,,,10.63550127,55.90906378,147.7879979,31.53983276,54.26592756,131.0603808,77.464228,20.33568,3.809276503,,1
Set Eight,,,10.62725856,56.44629789,149.6769007,31.59615523,53.90626298,131.7301522,77.786188,20.457109,3.802403751,,1
Set Eight,,,14.3135246,68.2798045,149.3079412,39.62407847,77.15880241,135.4637265,85.793933,24.330787,3.526147058,,1
Set Eight,,,11.39672686,57.82564164,145.8973939,33.11986238,59.3568685,131.1789204,79.666942,21.356936,3.730260839,,1
Set Eight,,,13.9200337,66.59981681,147.9279634,38.70810693,74.9074505,134.552846,85.528914,24.168475,3.538862671,,1
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
